indicador,valor,unidad,periodo,fuente,url,uso_en_el_proyecto
empleo_informal,70.9,% de la poblacion ocupada,2024,"INEI, Encuesta Permanente de Empleo Nacional (reportado por Gestion)",https://gestion.pe/economia/informalidad-en-peru-cayo-pero-en-10-ciudades-la-situacion-fue-otra-como-entenderlo-empleo-en-peru-puestos-de-trabajo-inei-mercado-laboral-noticia/,tamano del segmento objetivo (informales)
empleo_informal_urbano,65.6,% de la poblacion ocupada urbana,jul-2023 a jun-2024,"INEI, Encuesta Permanente de Empleo Nacional",https://m.inei.gob.pe/media/MenuRecursivo/boletines/informe_epen_nacional.pdf,segmento objetivo en zonas urbanas (canal digital)
empleo_informal_rural,94.3,% de la poblacion ocupada rural,jul-2023 a jun-2024,"INEI, Encuesta Permanente de Empleo Nacional",https://m.inei.gob.pe/media/MenuRecursivo/boletines/informe_epen_nacional.pdf,contexto
adultos_con_cuenta_sistema_financiero,57,% de adultos,2024,"ENAHO 2024 (INEI), procesado por SBS/BCRP (reportado por Gan@Mas)",https://revistaganamas.com.pe/mas-de-11-millones-de-adultos-aun-estan-fuera-del-sistema-financiero-pese-al-auge-de-las-billeteras-digitales/,brecha de acceso al sistema financiero
adultos_con_cuenta_o_billetera_digital,67,% de adultos,2024,"ENAHO 2024 (INEI), procesado por SBS/BCRP (reportado por Gan@Mas)",https://revistaganamas.com.pe/mas-de-11-millones-de-adultos-aun-estan-fuera-del-sistema-financiero-pese-al-auge-de-las-billeteras-digitales/,brecha de acceso incluyendo billeteras (Yape/Plin)
adultos_fuera_del_sistema_financiero,11000000,personas (mas de),2024,"SBS/BCRP con ENAHO 2024 (reportado por Gan@Mas)",https://revistaganamas.com.pe/mas-de-11-millones-de-adultos-aun-estan-fuera-del-sistema-financiero-pese-al-auge-de-las-billeteras-digitales/,mercado potencial
deudores_sistema_financiero,8248431,personas,dic-2024,"SBS, Evolucion del Sistema Financiero, diciembre 2024 (cuadro Estructura)",https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/SF-2103-di2024.PDF,contexto: personas con al menos un credito
morosidad_empresas_operaciones_multiples,4.0,% de la cartera (criterio contable SBS),dic-2024,"SBS, Evolucion del Sistema Financiero, diciembre 2024 (4.1 Calidad de cartera)",https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/SF-2103-di2024.PDF,referencia de riesgo del mercado
morosidad_especializadas_mype,6.2,% de la cartera (criterio contable SBS),dic-2024,"SBS, Evolucion del Sistema Financiero, diciembre 2024 (4.1 Calidad de cartera)",https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/SF-2103-di2024.PDF,referencia para la meta de atrasos entre aprobados
morosidad_90_dias_especializadas_mype,4.7,% de la cartera,dic-2024,"SBS, Evolucion del Sistema Financiero, diciembre 2024 (4.1 Calidad de cartera)",https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/SF-2103-di2024.PDF,referencia para la meta de atrasos entre aprobados
tasa_interes_microempresas_mn,58.01,% anual promedio,dic-2024,"SBS, Evolucion del Sistema Financiero, diciembre 2024 (3. Tasa de interes promedio)",https://intranet2.sbs.gob.pe/estadistica/financiera/2024/Diciembre/SF-2103-di2024.PDF,contexto: costo del credito para el segmento
